run_id,frame,elapsed_seconds,sim_time,round_number,ai_enabled,ai_mode,paused,director_x,director_y,director_z,active_channels,molecules_free_inside,molecules_free_outside,molecules_attached,vesicles_alive,first_vesicle_state,first_vesicle_x,first_vesicle_y,first_vesicle_z,first_molecule_kind,first_molecule_inside,first_molecule_state,first_molecule_x,first_molecule_y,first_molecule_z,first_molecule_vx,first_molecule_vy,first_molecule_vz,passes,bounces,collisions,buds,fusions,transfers,marks,spills,detaches,resets,nucleus_absorbed,golgi_absorbed,lysosome_absorbed,er_absorbed
20260526-040130-sentence-script-a-transparent-spherical-2682c1,661,10.7401,14.542,1,1,artistic_mark,0,1.7718,0.5202,0.5024,3,37,19,2,1,travel,0.1635,-0.8554,0.2951,waste,1,free,2.6697,-2.0255,-3.2865,-0.9809,0.8026,0.1721,1,75,52,5,4,9,436,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,673,10.9412,14.806,1,1,artistic_mark,0,1.5384,0.5196,1.0152,4,37,19,2,1,travel,0.7458,-0.1655,0.176,waste,1,free,2.4098,-1.8124,-3.2429,-0.9839,0.8276,0.1552,1,75,52,5,4,9,456,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,685,11.1414,15.07,1,1,artistic_mark,0,1.2056,0.3556,1.4414,3,37,19,2,1,travel,1.4675,0.386,0.0713,waste,1,free,2.1482,-1.5949,-3.1993,-0.9771,0.8028,0.1713,1,76,52,5,4,9,479,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,697,11.3422,15.334,1,1,artistic_mark,0,0.7936,0.1127,1.7437,2,37,19,2,1,fusing,2.0623,0.6775,0.0081,waste,1,free,1.8941,-1.3868,-3.1489,-0.938,0.7977,0.189,1,76,52,5,4,9,485,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,709,11.5427,15.598,1,1,artistic_mark,0,0.322,-0.1569,1.9008,1,37,19,2,1,fusing,2.0623,0.6775,0.0081,waste,1,free,1.645,-1.1836,-3.0997,-0.9536,0.7304,0.1741,1,76,53,5,4,9,485,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,721,11.7423,15.862,1,1,artistic_mark,0,-0.1946,-0.3791,1.8681,1,37,19,2,1,fusing,2.0623,0.6775,0.0081,waste,1,free,1.3941,-0.9908,-3.056,-0.9513,0.7152,0.1485,1,78,53,5,4,9,492,0,0,1,2,4,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,733,11.9463,16.126,1,1,artistic_mark,0,-0.7133,-0.4333,1.6553,0,39,19,0,0,,,,,waste,1,free,1.1402,-0.791,-3.0114,-0.9627,0.7685,0.1787,1,78,53,5,5,11,516,0,0,1,2,6,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,745,12.1504,16.39,1,1,artistic_mark,0,-1.1765,-0.3129,1.3542,0,39,19,0,0,,,,,waste,1,free,0.8809,-0.5834,-2.9658,-1.0002,0.8028,0.1485,1,80,53,5,5,11,546,0,0,1,2,6,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,757,12.3543,16.654,1,1,constructive_delivery,0,-1.3504,-0.2076,1.0815,1,39,19,0,0,,,,,waste,1,free,0.6183,-0.3758,-2.928,-0.984,0.7935,0.1569,1,83,53,5,5,11,567,0,0,1,2,6,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,769,12.5581,16.918,1,1,constructive_delivery,0,-1.1913,-0.103,0.9363,2,37,19,2,1,budding,-4.9202,-0.6281,1.5703,waste,1,free,0.3563,-0.1653,-2.8838,-0.9668,0.804,0.1783,1,85,58,6,5,11,571,0,0,1,2,6,0,3
